country_code,country_name,region,sub_region,intermediate_region,indicator_code,indicator_name,year,imports_of_goods_and_services
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1960,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1961,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1962,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1963,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1964,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1965,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1966,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1967,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1968,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1969,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1970,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1971,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1972,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1973,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1974,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1975,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1976,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1977,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1978,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1979,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1980,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1981,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1982,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1983,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NE.IMP.GNFS.ZS,IMPORTACIONES DE BIENES Y SERVICIOS (% DEL PIB),1984,0.0
